YearsExperience,EducationLevel,Salary
19.2,Bachelor,120000
17.7,Bachelor,97180
8.7,Master,46766
6.5,Bachelor,104336
5.5,PhD,68770
,Master,92545
3.2,PhD,72722
11.4,Bachelor,102443
1.0,Master,88786
7.2,Bachelor,80174
5.2,PhD,77621
19.5,Master,68323
14.8,Master,81322
7.6,PhD,55339
2.8,Bachelor,62829
10.8,,95581
5.1,Bachelor,108639
11.2,PhD,70665
16.9,Master,74849
12.7,PhD,110340
13.0,Bachelor,109882
11.3,PhD,83235
18.6,Bachelor,52392
18.7,Bachelor,101356
10.7,Bachelor,102921
,Master,40000
9.7,PhD,99616
4.5,Bachelor,92762
13.1,Master,73527
10.5,Master,104929
3.0,Master,75520
4.8,PhD,106725
10.1,Bachelor,79209
17.9,PhD,65146
11.8,Master,89976
13.9,Bachelor,104673
7.4,PhD,120000
11.9,Master,76479
9.5,PhD,46604
13.5,Bachelor,120000
2.0,Master,89734
10.4,Bachelor,120000
6.6,PhD,68981
7.2,Master,66656
19.3,PhD,61216
4.5,Bachelor,107532
6.9,Bachelor,120000
10.7,PhD,84911
17.4,PhD,64391
8.9,Master,55473
15.1,Master,92581
17.3,Bachelor,89477
6.9,Bachelor,98120
8.5,Master,70875
7.8,PhD,78597
16.8,PhD,46726
1.8,Bachelor,88006
6.9,Master,80198
,Bachelor,120000
11.7,Bachelor,101077
9.3,,86981
11.3,Bachelor,61871
4.8,Master,116037
9.2,Bachelor,43094
,PhD,66766
18.1,Master,120000
6.0,Bachelor,98011
17.5,Bachelor,82482
13.2,Bachelor,58370
1.4,Bachelor,104729
14.8,Bachelor,53233
1.7,Bachelor,60188
20.0,PhD,58621
17.6,PhD,61726
6.6,Master,120000
5.9,Bachelor,91897
8.2,Master,97193
7.8,PhD,120000
,PhD,59832
7.0,Master,40280
12.8,PhD,98026
,PhD,84197
17.1,PhD,91968
16.4,Bachelor,52678
10.1,Bachelor,88975
17.2,PhD,70708
,PhD,59264
1.3,PhD,62883
12.8,,71583
9.7,PhD,76833
11.8,,74555
18.1,Bachelor,120000
19.4,Master,116893
,PhD,92161
15.5,PhD,114228
2.6,Bachelor,120000
,PhD,70667
14.9,Master,85893
9.2,Bachelor,109555
9.5,PhD,94571
6.9,Master,68485
12.5,Bachelor,102277
4.5,PhD,65713
12.9,PhD,75717
4.3,,51187
2.2,Bachelor,61091
7.3,Master,46104
5.4,Master,108185
17.9,PhD,71416
,PhD,40000
4.4,Bachelor,46608
11.4,Bachelor,85719
10.1,Master,120000
1.9,PhD,52155
1.1,Bachelor,46967
19.8,Master,82108
13.5,Bachelor,86164
7.9,PhD,72519
9.9,Bachelor,57209
,PhD,84471
7.6,Bachelor,67352
13.3,Bachelor,120000
17.8,Master,40000
4.5,PhD,50934
17.0,Bachelor,108324
3.3,PhD,113236
5.1,Master,49179
1.7,PhD,120000
3.7,PhD,104484
18.4,PhD,73657
9.7,Bachelor,79909
2.5,Master,66499
19.2,PhD,57687
17.7,Bachelor,68327
15.3,Master,87376
18.7,PhD,110763
5.2,Master,74714
16.9,PhD,73587
14.1,Bachelor,77982
17.5,Master,100560
16.1,Master,108358
7.6,Master,68847
15.7,PhD,93873
6.0,Bachelor,75028
7.2,Master,105816
3.1,Bachelor,55109
18.8,PhD,63233
6.5,,77927
10.9,Bachelor,112387
8.4,PhD,86121
19.2,Master,120000
7.4,,53356
15.8,Master,86685
17.3,PhD,76761
,Master,93093
8.2,PhD,110385
15.2,PhD,116412
18.3,Master,101254
15.3,Master,97350
,PhD,119848
17.9,Bachelor,81599
8.4,PhD,107833
11.9,Bachelor,116424
16.8,PhD,92769
4.6,Master,97152
15.9,Bachelor,71131
12.3,Master,61570
18.0,Master,86700
4.3,PhD,63310
9.0,Bachelor,76859
16.8,Master,118420
1.4,PhD,44197
3.1,Bachelor,49289
19.8,Master,89872
6.3,PhD,74999
19.5,Bachelor,73407
4.5,,84348
7.9,PhD,51942
15.3,PhD,57629
13.5,Master,113329
12.0,Bachelor,58810
11.1,PhD,86469
17.0,Master,117223
5.5,Bachelor,104294
9.4,Master,55429
4.0,PhD,79787
12.3,PhD,107705
5.8,PhD,101463
7.3,Master,96989
10.0,Bachelor,84435
1.5,PhD,51211
2.7,Bachelor,81856
14.0,PhD,99673
9.2,Master,90672
17.4,Master,46834
14.2,Master,52602
1.2,PhD,116218
12.7,PhD,64994
2.8,Master,72119
15.8,Bachelor,114360
19.8,Bachelor,80118
11.1,Bachelor,55825
,PhD,83094
5.5,PhD,88315
9.3,Bachelor,80251
17.3,Master,120000
4.2,Bachelor,70193
,Bachelor,94807
9.5,Master,46317
14.5,PhD,76695
8.1,Bachelor,109488
18.6,Bachelor,55782
2.8,Bachelor,91717
,Bachelor,52722
,PhD,51148
5.3,Master,86926
13.5,,108855
4.1,Master,53501
,Bachelor,112739
,PhD,55571
18.7,Bachelor,54713
,PhD,56005
16.1,Bachelor,56846
7.3,PhD,52128
12.3,,98714
10.4,Bachelor,89704
19.0,Bachelor,70588
,Master,120000
14.9,,79819
1.9,Master,61970
11.4,PhD,64382
9.9,Master,51041
18.6,PhD,93872
5.9,Bachelor,58842
6.1,Bachelor,84912
8.8,PhD,101291
,Master,89103
3.5,Bachelor,89788
17.3,Bachelor,59333
11.6,,42831
17.4,Bachelor,81925
16.8,PhD,64567
6.4,Master,49772
,Bachelor,87100
2.6,Master,70669
18.4,Master,99102
8.7,PhD,64321
8.5,PhD,120000
6.8,PhD,113343
9.8,Bachelor,42718
5.8,Master,85244
8.1,PhD,94475
16.2,PhD,104671
16.9,Master,85149
6.8,PhD,80512
9.9,Master,83831
,Master,68977
,PhD,120000
17.9,PhD,75399
5.2,Bachelor,42571
13.9,Master,59306
12.1,Bachelor,110600
11.5,Master,90179
17.3,PhD,112077
2.9,Bachelor,100994
7.6,Bachelor,102114
11.2,Master,91422
16.4,Master,57931
5.1,Bachelor,51663
16.3,Bachelor,81164
8.6,PhD,79716
4.6,Master,90143
15.4,Bachelor,88038
2.7,PhD,93922
10.8,Master,40000
2.2,Master,45931
7.8,Master,98521
12.4,Bachelor,54355
11.6,PhD,101156
8.7,PhD,97628
9.2,PhD,120000
5.3,Master,113033
9.7,Master,77309
19.1,Master,95465
17.2,,53020
3.8,Bachelor,70702
1.6,Bachelor,103733
18.7,Master,106039
11.0,PhD,80975
11.2,Bachelor,47507
15.8,Bachelor,106337
,PhD,71473
,Bachelor,119059
19.4,Master,102798
13.8,Bachelor,80384
,Bachelor,40170
,Bachelor,55536
4.9,Master,107476
15.6,Master,108290
,Master,94038
1.4,,85848
18.9,Master,100669
4.2,Master,78784
1.2,Master,88070
5.5,Bachelor,65679
5.5,Master,111245
9.0,Bachelor,91538
18.5,PhD,79555
17.7,Master,111143
9.7,Master,87704
8.8,PhD,59556
,Bachelor,51153
5.6,Bachelor,94138
2.0,Bachelor,108086
,PhD,116445
4.5,Bachelor,93144
,Bachelor,47225
10.0,Bachelor,51081
10.3,Master,74120
1.4,Bachelor,115677
3.8,Master,120000
8.2,Bachelor,61445
14.0,Bachelor,102430
5.3,Master,87858
9.0,Bachelor,42625
11.6,Bachelor,89444
17.9,Master,116553
7.2,Master,71948
3.5,Master,112277
10.3,Bachelor,59430
15.2,Master,50075
3.1,PhD,47064
,Bachelor,103676
1.3,PhD,76601
1.6,Master,107632
,Master,89514
6.7,Bachelor,76552
17.1,Master,108727
12.4,Master,77751
9.6,PhD,108136
8.8,Bachelor,54133
,Bachelor,87483
1.8,Master,92500
18.0,Master,117335
20.0,PhD,60117
4.4,Master,81655
3.3,Bachelor,68183
3.7,PhD,73518
13.6,PhD,58769
13.6,Master,59575
17.1,PhD,120000
15.3,Bachelor,105078
9.5,Master,76118
12.6,PhD,111806
14.1,PhD,52682
10.7,PhD,106594
10.0,Bachelor,113760
13.3,Bachelor,112840
11.6,Master,69077
13.2,PhD,108630
12.6,PhD,84269
,PhD,120000
13.2,Master,91071
10.9,,105324
14.0,Master,51138
9.5,Bachelor,89691
5.6,Bachelor,86238
1.0,Master,96936
11.6,Master,105994
12.2,PhD,120000
19.5,Bachelor,118850
7.9,Master,48159
8.5,Bachelor,106321
4.8,Master,52650
2.3,Master,88604
15.7,Master,112181
5.7,Master,42713
12.6,PhD,113198
14.1,Master,114089
,Bachelor,87171
17.7,,69261
9.4,Bachelor,76356
6.4,Bachelor,120000
18.0,PhD,56935
,Bachelor,90794
4.1,Bachelor,49321
1.5,Master,59431
2.7,Bachelor,106128
6.4,Bachelor,58638
19.5,,120000
11.6,PhD,89955
8.1,Master,76742
17.9,,52334
9.6,Bachelor,120000
7.0,Master,61248
18.9,Master,87890
17.1,Master,80833
17.0,PhD,75485
10.7,,95601
16.0,Master,99448
4.4,Master,50669
11.9,Master,86127
19.7,PhD,106427
6.5,Master,80256
16.1,Bachelor,66803
10.3,PhD,64864
1.8,PhD,60417
15.5,PhD,49625
4.2,Bachelor,67301
13.0,,93684
2.6,Bachelor,44446
19.0,PhD,100717
6.5,Bachelor,120000
,Bachelor,118397
3.5,Master,103736
19.0,Bachelor,70434
14.5,Bachelor,47663
15.1,PhD,106573
10.5,Master,44284
10.0,PhD,48605
3.1,Bachelor,77658
11.6,Bachelor,56183
5.7,PhD,106133
19.6,Master,105394
16.1,Bachelor,112244
,Master,114574
3.9,Bachelor,55272
15.9,Bachelor,107049
3.3,PhD,78486
4.6,PhD,100820
5.0,Bachelor,52756
11.6,PhD,108418
16.0,PhD,120000
7.0,Bachelor,40000
2.6,PhD,50341
9.8,Bachelor,50070
15.2,Bachelor,84767
5.2,PhD,64920
5.2,Bachelor,102352
19.0,Master,90236
19.1,Master,87291
19.8,PhD,116861
16.3,PhD,72536
4.6,Master,68542
5.0,Bachelor,107663
7.5,Bachelor,98257
7.0,PhD,52850
19.2,Master,52725
16.0,Bachelor,64898
14.8,PhD,66352
4.5,PhD,67891
18.3,PhD,95123
16.7,PhD,120000
4.1,Master,52738
17.6,Master,87674
6.2,Master,75462
2.5,Bachelor,78207
13.5,Master,98710
13.4,PhD,114953
2.8,Master,53783
7.1,Bachelor,48952
,Bachelor,90062
13.9,PhD,80682
,,61888
5.0,PhD,56631
2.5,PhD,91679
6.3,Bachelor,56303
5.7,Bachelor,119195
5.5,Bachelor,72986
4.7,PhD,68665
11.9,Master,92471
7.2,Bachelor,50191
16.6,Master,80987
4.5,Bachelor,76650
9.8,PhD,71442
1.3,Bachelor,108920
10.2,,52541
2.1,Master,116704
19.6,Master,105225
16.0,Master,80484
10.3,Master,57657
,PhD,63747
12.3,PhD,75942
15.4,Bachelor,84138
4.6,Bachelor,47967
11.8,Bachelor,114280
16.5,Master,51370
15.6,Master,68084
16.3,PhD,51184
17.7,PhD,67889
18.8,Bachelor,114351
8.7,PhD,83280
11.8,Bachelor,67182
16.0,Bachelor,118620
14.2,Bachelor,99044
19.9,PhD,99209
1.3,Master,113910
7.7,Master,97204
6.3,PhD,88120
6.0,PhD,67580
5.2,,70104
14.5,Master,86667
2.6,Bachelor,113136
15.1,Master,94807
14.2,Bachelor,120000
5.8,Master,72419
5.8,,100930
12.9,Bachelor,95377
15.5,Bachelor,92301
17.7,Bachelor,85320
17.2,Bachelor,63055
19.3,Bachelor,50215
12.0,Bachelor,120000
18.3,PhD,52857
16.4,Master,84461
18.0,Bachelor,74141
1.2,Master,75844
19.4,Master,112252
10.0,Bachelor,96719
16.2,Bachelor,120000
,PhD,74605
8.5,,81012
,PhD,112452
6.5,PhD,116913
3.3,Master,120000
16.3,,110719
1.2,Master,57015
6.9,PhD,49680
4.3,Bachelor,113549
12.2,PhD,112725
5.8,Master,105062
5.9,PhD,63104
10.3,Master,95008
13.4,Bachelor,71570
3.3,Bachelor,61636
4.3,PhD,71786
5.7,Master,117126
19.5,PhD,67195
8.5,Master,87996
12.4,PhD,78544
5.6,PhD,94187
10.3,Master,83645
2.4,PhD,120000
1.7,Master,55352
9.9,Bachelor,57625
,Master,105044
,Bachelor,74812
,Master,59212
19.9,Bachelor,88886
8.5,PhD,100099
12.9,PhD,48860
19.3,Master,73199
16.8,Bachelor,104969
9.8,PhD,89530
15.0,Bachelor,46959
3.4,Bachelor,61772
10.7,Bachelor,88107
6.3,Bachelor,58497
4.1,Master,109113
9.1,PhD,95657
3.5,Master,72275
14.3,Bachelor,109317
9.7,PhD,75983
11.1,Master,65168
3.8,Master,104802
3.7,Bachelor,86747
12.1,Master,63822
19.7,Master,73868
2.8,Bachelor,78953
,PhD,64797
,PhD,110662
2.4,PhD,96707
17.6,PhD,86776
11.0,PhD,87422
8.8,Master,64157
6.9,Bachelor,69229
6.6,Bachelor,48362
6.8,PhD,61750
17.8,Bachelor,70532
14.8,Bachelor,96709
13.7,Master,114187
16.2,PhD,69512
5.9,Bachelor,113501
12.7,Bachelor,114712
9.7,PhD,120000
15.9,Bachelor,114776
6.9,Bachelor,83566
,Master,89610
17.8,Master,50411
8.6,PhD,95105
,PhD,85417
10.8,Bachelor,79154
7.6,PhD,96937
13.8,Master,76953
,PhD,95741
10.2,Bachelor,70392
9.9,,108990
13.4,PhD,114728
3.0,Bachelor,110363
5.8,PhD,109977
,Master,43663
13.7,PhD,118419
1.3,Bachelor,59865
4.9,PhD,117370
14.0,PhD,62313
15.5,Bachelor,76079
17.0,Master,107147
6.6,PhD,97900
18.7,Bachelor,88133
11.5,PhD,101080
14.2,Master,89726
12.3,PhD,70890
3.3,Bachelor,87949
19.3,,55002
,PhD,97948
5.8,Bachelor,47349
16.5,Bachelor,95019
12.8,Master,68028
16.9,PhD,75648
10.8,Bachelor,73572
8.2,PhD,99380
18.5,Bachelor,120000
1.7,PhD,101535
17.3,Master,109062
5.4,Master,90156
17.1,PhD,79189
3.6,Master,45887
12.0,PhD,82723
17.9,,109108
10.0,,68216
15.2,Master,78789
16.3,PhD,69822
15.0,Master,68102
,PhD,50763
9.5,Master,91951
4.3,Master,75937
1.9,PhD,89587
5.7,Master,83118
3.7,Bachelor,101215
11.6,Master,95056
4.5,Bachelor,101947
1.7,Master,72171
1.7,Bachelor,72573
16.8,Master,118415
12.2,Master,48904
7.8,Master,54183
18.0,Bachelor,77747
2.3,PhD,99123
19.6,,42778
12.7,Bachelor,93239
4.5,Master,88144
13.9,PhD,83466
,PhD,83327
9.2,Bachelor,87901
17.4,Master,54131
3.9,PhD,55883
6.3,Bachelor,59951
2.8,PhD,100973
5.0,Master,83878
5.5,Bachelor,80720
18.4,Master,92637
2.5,Bachelor,79975
9.1,Bachelor,60501
11.1,Master,56379
,PhD,117907
20.0,Bachelor,99053
15.3,Bachelor,97692
19.4,Master,90950
,Bachelor,100576
19.3,Bachelor,99913
14.4,PhD,52495
2.5,Master,115456
8.6,PhD,65002
13.3,PhD,61667
7.7,Master,54672
6.2,PhD,100873
12.0,Master,90747
18.7,Master,97556
1.7,Master,109702
15.6,Bachelor,74842
14.7,PhD,89975
19.3,PhD,96121
18.7,Bachelor,120000
15.5,PhD,79984
10.9,Master,120000
4.9,Bachelor,54357
,Master,102943
15.5,Master,96632
18.0,PhD,108873
16.0,PhD,51813
4.7,PhD,44927
12.4,PhD,56016
7.3,PhD,88951
1.2,PhD,96336
,Master,120000
3.2,Bachelor,78373
17.0,Bachelor,57102
5.9,Master,63789
6.4,Master,40000
19.2,,109951
8.2,Master,111713
1.2,Master,120000
6.4,Bachelor,75786
3.3,Bachelor,43360
3.0,Bachelor,59703
2.5,Master,89937
12.3,PhD,117527
4.6,Master,49985
7.9,PhD,47830
17.4,PhD,101872
9.1,PhD,96152
18.4,Bachelor,62287
10.5,Master,104441
,Master,55728
15.3,Master,118558
2.4,PhD,57700
2.7,Master,41780
13.4,Bachelor,69692
10.3,Master,65344
16.0,Bachelor,92759
18.4,PhD,105335
8.4,PhD,83317
12.3,Bachelor,99333
10.5,Bachelor,69006
19.7,Bachelor,46647
16.8,PhD,120000
18.3,Master,117084
5.8,PhD,54513
15.7,Master,81970
6.0,Bachelor,101257
,Bachelor,58810
18.9,Master,95190
1.4,Bachelor,84357
19.3,Bachelor,56139
3.8,Bachelor,47965
16.6,,106923
6.2,Bachelor,67434
7.7,Master,66282
5.1,Master,98720
12.1,PhD,105868
7.6,Bachelor,64834
13.5,Master,115996
1.3,PhD,98532
2.2,Bachelor,61301
2.9,PhD,66763
9.0,,99127
16.5,Master,60721
17.9,PhD,79978
5.7,Bachelor,93716
11.9,Master,93680
15.6,,96976
6.5,PhD,90978
8.8,,63504
11.0,Master,72993
3.6,Master,82854
1.5,Bachelor,105929
3.9,PhD,94109
12.9,PhD,78898
2.4,Master,120000
4.6,Bachelor,50480
7.4,PhD,70582
2.5,Master,60438
4.6,PhD,59511
18.3,Bachelor,97569
1.4,Bachelor,44052
13.4,Master,49437
8.3,Master,66309
13.8,PhD,114172
12.2,PhD,117963
5.2,Master,109961
17.1,PhD,59476
10.3,PhD,92538
16.6,PhD,50320
8.7,Bachelor,73047
19.7,Master,117323
,Master,84750
19.4,PhD,61170
10.8,PhD,72928
10.0,PhD,53272
15.4,PhD,79484
17.7,Master,90209
19.3,PhD,83413
7.2,PhD,115668
16.2,PhD,85316
5.0,,115096
11.4,Master,101704
4.4,PhD,89327
7.6,Master,81062
18.7,Master,44728
3.8,PhD,99818
13.0,Master,78204
12.3,Master,50924
3.3,Bachelor,83549
7.2,Bachelor,101629
11.7,PhD,120000
4.6,Bachelor,77944
16.2,Bachelor,86964
19.5,Bachelor,116806
5.1,Master,67716
4.6,PhD,60411
9.6,PhD,68881
15.2,Bachelor,120000
6.4,Master,63795
1.4,PhD,72493
,Bachelor,80093
19.2,,113144
8.4,PhD,105751
9.0,Master,74700
19.4,Master,120000
14.2,PhD,65026
14.7,Master,54785
11.7,PhD,120000
,PhD,88678
14.1,Bachelor,62550
18.0,PhD,98482
14.3,Master,111989
,Master,108802
6.5,PhD,113675
6.8,Bachelor,94615
15.9,PhD,110082
,PhD,82707
11.7,Master,97124
,PhD,111879
16.5,PhD,85029
,Master,45283
16.8,Bachelor,75735
12.5,PhD,98737
4.6,Master,60020
11.3,Bachelor,54775
6.4,Master,67131
7.1,Bachelor,40161
7.7,PhD,117184
2.2,PhD,65142
19.7,PhD,61591
1.6,PhD,98320
13.6,Master,117240
8.1,Bachelor,40000
13.3,Master,55449
7.8,Master,119306
13.8,Bachelor,85230
14.9,PhD,120000
14.1,PhD,65124
3.2,PhD,63985
13.5,Bachelor,57998
6.3,Master,52340
1.5,Master,116186
8.9,Master,120000
9.2,PhD,114292
9.9,Bachelor,104804
14.4,PhD,114693
6.9,PhD,92794
7.0,PhD,105648
2.2,Master,60186
14.0,Master,72152
11.8,Bachelor,106095
7.6,PhD,112595
14.4,PhD,98806
,Master,113469
9.9,Master,74846
10.7,PhD,106136
13.1,Master,120000
13.5,Bachelor,54582
6.5,Bachelor,117473
3.7,PhD,88040
,PhD,102833
13.1,Bachelor,120000
17.6,PhD,75744
8.8,Bachelor,69648
4.2,PhD,86948
15.4,Master,40000
16.8,PhD,91020
17.7,Master,70662
12.5,PhD,120000
17.4,Master,52220
1.3,Bachelor,78410
3.0,PhD,120000
2.8,Master,115422
14.5,PhD,96732
2.3,PhD,91698
10.4,PhD,77848
,Bachelor,73561
6.9,Master,51466
17.5,Master,117438
4.2,PhD,66441
7.7,PhD,103180
15.7,Master,72166
1.6,,84559
13.8,Master,94030
16.5,Master,108536
18.7,PhD,64172
17.6,Master,83570
7.1,PhD,46259
12.1,Bachelor,47481
2.5,PhD,95226
5.9,Bachelor,55356
2.8,Bachelor,46298
7.0,Master,105162
17.6,Bachelor,83752
7.6,Master,57947
11.7,PhD,47029
9.2,PhD,48836
9.7,Bachelor,85925
19.4,Master,103375
6.6,Master,89339
12.9,Master,57616
9.0,Bachelor,88099
2.2,Bachelor,72286
10.3,Master,82649
16.5,Master,106521
2.9,PhD,74181
2.3,PhD,59936
,Master,113864
,PhD,66690
14.8,,63698
11.7,,108348
9.9,Master,98697
,Bachelor,104725
,Master,61618
,Bachelor,76829
16.5,Master,59082
13.2,PhD,84819
9.7,Master,71603
17.4,PhD,103031
18.6,PhD,51113
,Master,42716
2.0,Master,81934
19.2,Master,120000
6.3,PhD,120000
17.6,PhD,120000
8.4,Master,70359
3.3,PhD,46515
2.5,PhD,75564
,Master,106575
5.7,PhD,51080
10.3,Master,68853
14.3,Master,51059
19.7,Master,88998
,Master,65458
10.8,PhD,47967
10.9,PhD,79490
11.2,PhD,64415
10.8,Bachelor,90295
1.2,Bachelor,98589
1.0,Bachelor,43278
2.9,PhD,108822
,Master,42623
14.4,Bachelor,86075
4.9,Master,85501
18.0,Bachelor,120000
18.6,PhD,98766
19.5,PhD,67988
18.8,Bachelor,81899
6.2,Bachelor,82465
10.7,Bachelor,75495
4.3,Bachelor,56008
16.3,PhD,94479
17.9,Master,61407
17.2,Bachelor,98487
9.2,Master,97449
15.4,Bachelor,52601
2.9,Bachelor,109958
1.8,Bachelor,82140
15.3,Master,73552
9.1,Master,47064
19.9,Bachelor,97329
2.8,Master,64289
17.3,Bachelor,115706
10.1,Bachelor,48221
16.7,Bachelor,57520
16.5,Master,120000
18.4,Bachelor,120000
6.7,PhD,51166
19.0,Master,105651
3.9,Bachelor,53827
2.6,,95039
9.2,PhD,118346
16.7,PhD,53444
10.0,Bachelor,59024
16.8,PhD,49063
14.9,Bachelor,47157
5.0,Bachelor,48373
19.0,Bachelor,107227
2.2,Bachelor,68529
18.1,Bachelor,87085
6.8,Bachelor,96697
10.5,Master,85718
9.0,PhD,66696
4.3,Bachelor,40000
7.8,Master,91598
,Master,52836
4.9,Master,95302
4.6,Bachelor,56403
,PhD,86980
16.2,,89845
11.8,Master,97269
18.0,Master,65468
13.1,Master,67646
14.1,Bachelor,113342
13.7,Master,46797
9.5,,63987
14.1,Bachelor,92029
2.3,PhD,113607
17.3,PhD,64470
15.8,PhD,105572
5.7,Bachelor,79832
15.6,PhD,47478
1.2,Master,88076
5.1,PhD,115061
2.2,PhD,118609
15.8,PhD,46831
15.4,PhD,95616
16.5,Bachelor,79390
1.1,Master,46331
10.5,PhD,103820
14.4,PhD,69113
4.0,Bachelor,74736
13.3,Bachelor,66727
2.6,PhD,66586
4.4,Bachelor,90282
10.0,Bachelor,72813
13.4,PhD,89793
,Master,63669
4.5,Bachelor,88997
4.9,Bachelor,98082
5.5,Master,63934
5.3,Bachelor,88932
8.5,Bachelor,97229
13.4,PhD,92154
9.3,PhD,75108
15.7,Bachelor,96947
14.7,Master,48877
3.4,Master,71808
1.9,PhD,86305
,Bachelor,54734
2.5,PhD,86723
3.8,Bachelor,94006
1.4,Master,105952
12.9,Master,57736
12.1,PhD,120000
19.8,PhD,93648
17.9,Master,73522
8.8,PhD,61499
8.1,Master,93595
6.6,PhD,119106
3.9,Bachelor,76449
3.6,Master,97451
3.5,Bachelor,76526
,Bachelor,70835
5.6,PhD,69143
,PhD,105143
19.3,PhD,70922
12.0,PhD,62617
19.8,PhD,84852
8.1,PhD,110770
9.7,Bachelor,106132
7.2,PhD,72067
,,113522
3.7,,48114
19.0,Master,48549
19.7,PhD,54666
1.9,Master,50114
3.9,PhD,51538
9.0,PhD,97777
4.5,PhD,91090
7.9,PhD,98308
3.5,PhD,101776
9.7,Master,99239
6.2,Master,58672
7.7,Master,83726
2.8,PhD,89432
,Master,120000
,PhD,70348
7.2,Bachelor,47628
17.7,PhD,103330
,Bachelor,104639
,PhD,68008
16.0,Master,86388
13.5,PhD,50497
17.3,PhD,120000
2.4,PhD,51915
9.8,PhD,48886
19.8,Master,53064
15.6,PhD,82106
19.3,Master,57300
15.8,PhD,109523
17.6,,117791
,Master,66045
15.4,Bachelor,97429
10.9,Bachelor,58886
,Bachelor,71559
16.7,Master,70154
17.0,Master,58910
13.8,PhD,98613
6.8,Bachelor,49087
1.7,PhD,111767
18.8,Master,101103
12.1,Bachelor,98041
6.7,PhD,110918
3.8,PhD,120000
16.8,PhD,96368
16.9,Bachelor,84047
16.5,Master,68806
,,104660
8.0,PhD,90261
6.8,Master,120000
1.2,Master,65261
16.8,Master,76613
2.7,PhD,60392
13.0,Master,108356
10.6,PhD,59068
11.0,Bachelor,75133
18.6,Bachelor,85882
,Master,56883
15.7,Master,85030
2.0,PhD,87978
1.7,,46480
9.2,Master,86457
2.2,Master,112168
16.0,Master,120000
11.1,Master,83810
1.6,Master,83497
1.8,,61419
12.6,Bachelor,120000
16.3,Bachelor,71217
9.3,,78473
11.5,Master,45927
,Bachelor,70718
12.6,Master,51946
5.3,Master,106026
12.6,Master,94767
12.9,,94495
14.9,PhD,72460
,PhD,104930
19.4,Master,42175
4.7,PhD,66977
19.1,Bachelor,100282
,Master,111038
13.8,Bachelor,64596
2.9,Bachelor,85480
8.2,,77320
15.6,PhD,112175
14.4,PhD,56580
,Master,79485
11.4,Bachelor,53765
2.7,Master,40000
19.9,Bachelor,45480
18.0,PhD,120000
1.4,Bachelor,57813
17.3,Master,120000
18.5,Bachelor,61011
,Bachelor,118226
14.7,,102736
9.4,Bachelor,60071
13.4,PhD,96078
7.5,Master,69243
,Bachelor,72922
9.1,PhD,75714
3.8,Bachelor,73047
16.8,PhD,101424
7.6,Master,112158
8.6,PhD,69763
18.0,PhD,120000
,PhD,120000
11.3,Bachelor,52863
19.2,Master,51836
17.8,Bachelor,82391
4.2,Master,94905
10.0,Master,70898
19.5,Bachelor,71922
8.1,Bachelor,107355
8.1,Master,100150
4.7,Master,58613
3.2,Master,111011
15.1,Bachelor,100760
15.6,Bachelor,64055
19.4,Bachelor,104654
15.7,Master,49922
5.6,Master,86252
1.8,Master,65460
19.7,Master,43469
7.5,Master,70564
6.9,,50306
18.2,Master,88999
,Master,98523
5.1,PhD,59601
17.9,Master,52611
19.9,,111664
2.6,PhD,40000
17.4,Master,74849
8.4,Bachelor,74623
11.0,,103156
18.4,Bachelor,107620
,PhD,112094
6.0,Master,65802
5.0,PhD,103727
2.5,Bachelor,56160
11.7,,60239
,Master,78809
8.8,Bachelor,103769
2.4,Master,57450
8.7,Bachelor,50194
1.8,PhD,109932
,Bachelor,113034
5.0,Master,83258
7.2,Bachelor,72246
17.5,Bachelor,110548
15.2,PhD,103939
5.2,PhD,87850
,Bachelor,66539
14.6,Bachelor,55968
8.4,,88352
15.6,Bachelor,60798
9.5,Master,75927
7.6,PhD,85221
9.6,Master,60221
15.2,Master,113094
18.1,Bachelor,57857
,Master,74882
11.0,PhD,104317
,,81627
,Master,73883
17.8,Bachelor,78215
7.9,PhD,119719
18.7,Master,113876
13.0,PhD,96140
18.7,Master,105978
15.4,Master,48189
,Master,117912
5.4,PhD,113909
8.5,,103331
4.2,PhD,105573
10.4,PhD,89048
10.0,PhD,61697
,Bachelor,113707
9.2,Bachelor,95365
15.9,PhD,95170
18.9,Bachelor,99101
17.7,,115030
5.0,,96162
10.4,Master,54591
7.6,Bachelor,85472
8.6,PhD,120000
7.9,Master,93386
16.7,PhD,118955
9.6,Master,108661
11.0,PhD,105740
,PhD,70715
2.1,PhD,73624
10.3,Master,93131
15.7,,78038
3.9,Bachelor,104910
12.6,Master,100531
5.5,Bachelor,57135
17.5,Bachelor,101848
7.2,PhD,87395
7.3,PhD,77129
12.4,Master,81292
,Bachelor,120000
6.4,,80486
8.9,Master,70852
7.7,Bachelor,72797
11.0,Master,68119
,PhD,79225
11.8,Master,54434
13.4,PhD,103123
6.8,Bachelor,63401
3.4,Master,86650
15.5,Bachelor,69750
,Bachelor,120000
5.9,Master,80167
8.7,Master,107872
10.5,Bachelor,102197
11.1,Master,95692
13.5,Bachelor,103838
1.8,PhD,40679
14.7,Master,102917
2.2,PhD,62802
9.9,PhD,118507
16.7,PhD,118338
9.6,PhD,120000
3.8,PhD,61197
19.7,Bachelor,81859
17.9,PhD,78689
15.7,Bachelor,52802
,Master,58370
4.5,,69683
